"Cód.","Nombre","","Provincia","Región","Superficie (km2)","Población 2012","Densidad (hab./km2)","IDH 2005"
"13103","Cerro Navia","","Santiago","Metropolitana de Santiago","11,0","128.090","13.361,4","0,683"
"13104","Conchalí","","Santiago","Metropolitana de Santiago","10,7","121.118","11.229,0","0,707"
"13105","El Bosque","","Santiago","Metropolitana de Santiago","14,2","162.671","12.365,0","0,711"
"13106","Estación Central","","Santiago","Metropolitana de Santiago","15,0","119.292","8.601,5","0,735"
"13107","Huechuraba","","Santiago","Metropolitana de Santiago","44,8","87.667","1.886,6","0,737"
"13108","Independencia","","Santiago","Metropolitana de Santiago","7,0","73.874","9.354,1","0,709"
"13109","La Cisterna","","Santiago","Metropolitana de Santiago","10,0","80.910","8.511,8","0,775"
"13110","La Florida","","Santiago","Metropolitana de Santiago","70,2","397.497","5.209,0","0,804"
"13111","La Granja","","Santiago","Metropolitana de Santiago","10,0","121.214","13.252,0","0,689"
"13112","La Pintana","","Santiago","Metropolitana de Santiago","30,6","202.146","8.511,8","0,679"
"13113","La Reina","","Santiago","Metropolitana de Santiago","23,0","91.927","9.618,3","0,883"
"13114","Las Condes","","Santiago","Metropolitana de Santiago","99,0","289.949","2.524,2","0,933"
"13115","Lo Barnechea","","Santiago","Metropolitana de Santiago","1.024,0","97.230","73,0","0,912"
"13116","Lo Espejo","","Santiago","Metropolitana de Santiago","7,0","99.527","15.667,0","0,657"
"13117","Lo Prado","","Santiago","Metropolitana de Santiago","7,0","94.766","13.100,4","0,715"
"13118","Macul","","Santiago","Metropolitana de Santiago","12,9","111.436","8.656,5","0,806"
